arm,time_s,target_timestamp_ns,source_timestamp_ns,source_index,age_ms,fx,fy,fz,tx,ty,tz
left,17.5,1787652128121508096,1787652128117067273,13996,4.440823,4.891943815218013,2.948034970788643,5.241630688626295,-0.3205717753733424,0.5192384441767696,-0.27697818053775614
left,17.51,1787652128131508096,1787652128127001486,14006,4.50661,5.681850335131177,3.036593159523361,4.835122382033755,-0.3198960299106117,0.530146659284203,-0.2690151592957185
left,17.52,1787652128141508096,1787652128136897727,14013,4.610369,6.272953184654591,3.2397798975555263,5.095596695546586,-0.3236101511044343,0.5503667081908633,-0.2682322517467014
left,17.53,1787652128151508096,1787652128147193911,14022,4.314185,7.120746231743312,3.541954201098858,4.797990149491413,-0.321286352546697,0.5663588030902335,-0.268825882131791
left,17.54,1787652128161508096,1787652128157136130,14028,4.371966,6.565547733433226,3.5800904046985598,4.683481228317014,-0.3191513517238865,0.5099160225390479,-0.27468351846244626
left,17.55,1787652128171508096,1787652128167125950,14036,4.382146,6.158342139475488,3.887042546859128,4.105663811010241,-0.31853958904604657,0.45982928615996155,-0.2774995124078727
left,17.56,1787652128181508096,1787652128176914615,14046,4.593481,6.0597733922066555,4.1562760031553845,3.618667054073318,-0.3206563177804235,0.395811582493789,-0.28290831590011506
left,17.57,1787652128191508096,1787652128186899293,14055,4.608803,5.5941618939213225,3.993577217747558,3.58345630777473,-0.31871683807124856,0.33677417723251324,-0.2855822908086513
left,17.58,1787652128201508096,1787652128197379671,14060,4.128425,5.633114333866318,4.061405283145459,3.5220808420940823,-0.3175278168330354,0.2974703861207514,-0.2789335717735439
left,17.59,1787652128211508096,1787652128206901517,14068,4.606579,5.142867205537302,3.977558525223131,3.783284240330796,-0.3197485606721431,0.23999737406559074,-0.27387512587326374
left,17.6,1787652128221508096,1787652128216948685,14078,4.559411,5.930783881737066,4.160441674353253,3.136821723540426,-0.3216106101250672,0.22546561339035243,-0.26728740508702514
left,17.61,1787652128231508096,1787652128227125650,14084,4.382446,6.029417506169452,3.8921270779691093,4.575184204896383,-0.33103942293476496,0.2628523028545876,-0.269785363766294
left,17.62,1787652128241508096,1787652128236883112,14092,4.624984,6.218360242856835,3.507445876960823,4.047486802562808,-0.34088539312771,0.2780092548682731,-0.26098472948004214
left,17.63,1787652128251508096,1787652128247080949,14101,4.427147,6.781231802843715,3.352052140195421,3.6048395598353626,-0.3588282719941876,0.29742457441230497,-0.2448359416968222
left,17.64,1787652128261508096,1787652128256918535,14108,4.589561,6.2191906811764595,3.5241367717684184,4.373793338230021,-0.3731813312373249,0.31358342288687,-0.22839113299609667
